61,雨天,,,無,好,2,3,1.0,"3,0",1.5
62,陰天,,,,好,1,4,1.0,"0,4",4.0
63,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
64,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
65,雨天,,,有,不好,2,2,1.0,"0,2",1.0
66,雨天,,,無,好,2,3,1.0,"3,0",1.5
67,陰天,,,,好,1,4,1.0,"0,4",4.0
68,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
69,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
70,雨天,,,有,不好,2,2,1.0,"0,2",1.0
71,雨天,,,無,好,2,3,1.0,"3,0",1.5
72,陰天,,,,好,1,4,1.0,"0,4",4.0
73,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
74,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
75,雨天,,,有,不好,2,2,1.0,"0,2",1.0
76,雨天,,,無,好,2,3,1.0,"3,0",1.5
77,陰天,,,,好,1,4,1.0,"0,4",4.0
78,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
79,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
80,雨天,,,有,不好,2,2,1.0,"0,2",1.0
81,雨天,,,無,好,2,3,1.0,"3,0",1.5
82,陰天,,,,好,1,4,1.0,"0,4",4.0
83,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
84,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
85,雨天,,,有,不好,2,2,1.0,"0,2",1.0
86,雨天,,,無,好,2,3,1.0,"3,0",1.5
87,陰天,,,,好,1,4,1.0,"0,4",4.0
88,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
89,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
90,雨天,,,有,不好,2,2,1.0,"0,2",1.0
91,雨天,,,無,好,2,3,1.0,"3,0",1.5
92,陰天,,,,好,1,4,1.0,"0,4",4.0
93,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
94,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
95,雨天,,,有,不好,2,2,1.0,"0,2",1.0
96,雨天,,,無,好,2,3,1.0,"3,0",1.5
97,陰天,,,,好,1,4,1.0,"0,4",4.0
98,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
99,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
100,雨天,,,有,不好,2,2,1.0,"0,2",1.0
101,雨天,,,無,好,2,3,1.0,"3,0",1.5
102,陰天,,,,好,1,4,1.0,"0,4",4.0
103,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
104,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
105,雨天,,,有,不好,2,2,1.0,"0,2",1.0
106,雨天,,,無,好,2,3,1.0,"3,0",1.5
107,陰天,,,,好,1,4,1.0,"0,4",4.0
108,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
109,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
110,雨天,,,有,不好,2,2,1.0,"0,2",1.0
111,雨天,,,無,好,2,3,1.0,"3,0",1.5
112,陰天,,,,好,1,4,1.0,"0,4",4.0
113,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
114,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
115,雨天,,,有,不好,2,2,1.0,"0,2",1.0
116,雨天,,,無,好,2,3,1.0,"3,0",1.5
117,陰天,,,,好,1,4,1.0,"0,4",4.0
118,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
119,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
120,雨天,,,有,不好,2,2,1.0,"0,2",1.0
121,雨天,,,無,好,2,3,1.0,"3,0",1.5
122,陰天,,,,好,1,4,1.0,"0,4",4.0
123,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
124,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
125,雨天,,,有,不好,2,2,1.0,"0,2",1.0
126,雨天,,,無,好,2,3,1.0,"3,0",1.5
127,陰天,,,,好,1,4,1.0,"0,4",4.0
128,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
129,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
130,雨天,,,有,不好,2,2,1.0,"0,2",1.0
131,雨天,,,無,好,2,3,1.0,"3,0",1.5
132,陰天,,,,好,1,4,1.0,"0,4",4.0
133,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
134,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
135,雨天,,,有,不好,2,2,1.0,"0,2",1.0
136,雨天,,,無,好,2,3,1.0,"3,0",1.5
137,陰天,,,,好,1,4,1.0,"0,4",4.0
